case_id,vehicle_label,source_filename,openai_first_status,openai_final_status,openai_retry2_used,openai_output_image,reve_status,reve_output_image
skolkovo-black-mustang,car,2026-05-14 13-58-34.JPG,completed,completed,false,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-per-case/skolkovo-black-mustang/outputs/skolkovo-black-mustang__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-black-mustang__reve-direct-nomask.png
skolkovo-black-sedan-city,car,2026-05-14 13-58-37.JPG,failed,completed,true,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-retry2-per-case/skolkovo-black-sedan-city/outputs/skolkovo-black-sedan-city__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-black-sedan-city__reve-direct-nomask.png
skolkovo-bronze-suv-field,car,2026-05-14 14-32-17.JPG,completed,completed,false,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-per-case/skolkovo-bronze-suv-field/outputs/skolkovo-bronze-suv-field__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-bronze-suv-field__reve-direct-nomask.png
skolkovo-blue-motorcycle,motorcycle,2026-05-14 14-43-47.JPG,failed,failed,true,,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-blue-motorcycle__reve-direct-nomask.png
skolkovo-black-motorcycle,motorcycle,2026-05-14 14-43-52.JPG,failed,failed,true,,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-black-motorcycle__reve-direct-nomask.png
skolkovo-orange-rental-bike,bicycle,2026-05-14 14-44-13.JPG,failed,completed,true,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-retry2-per-case/skolkovo-orange-rental-bike/outputs/skolkovo-orange-rental-bike__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-orange-rental-bike__reve-direct-nomask.png
skolkovo-orange-scooter,scooter,2026-05-14 14-44-43.JPG,completed,completed,false,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-per-case/skolkovo-orange-scooter/outputs/skolkovo-orange-scooter__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-orange-scooter__reve-direct-nomask.png
skolkovo-gray-mercedes-suv,car,2026-05-14 14-45-04.JPG,completed,completed,false,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-per-case/skolkovo-gray-mercedes-suv/outputs/skolkovo-gray-mercedes-suv__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-gray-mercedes-suv__reve-direct-nomask.png
skolkovo-yellow-shuttle-van,van,2026-05-14 14-45-13.JPG,failed,completed,true,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-retry2-per-case/skolkovo-yellow-shuttle-van/outputs/skolkovo-yellow-shuttle-van__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-yellow-shuttle-van__reve-direct-nomask.png
skolkovo-white-compact-car,car,2026-05-14 14-52-59.JPG,failed,completed,true,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/gpt-image-2-nomask-retry2-per-case/skolkovo-white-compact-car/outputs/skolkovo-white-compact-car__openai-gpt-image-2-nomask.png,completed,/Users/nikolai/Documents/Dream Wheel AI/images/virtual_tryon_archive/skolkovo-no-mask-2026-06-17/reve-nomask/outputs/skolkovo-white-compact-car__reve-direct-nomask.png
